smooth_h,smooth_b,dist_max_h,dist_max_l,trades,pf,wr,equity,max_dd
5,2,175,225,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,175,275,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,225,75,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,225,125,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,225,175,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,225,225,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,225,275,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,275,75,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,275,125,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,275,175,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,275,225,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
5,2,275,275,2535,1.138104903034641,0.483629191321499,5505.254713573103,1808.3518753943918
4,2,75,75,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,75,125,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,75,175,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,75,225,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,75,275,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,125,75,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,125,125,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,125,175,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,125,225,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,125,275,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,175,75,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,175,125,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,175,175,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,175,225,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,175,275,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,225,75,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,225,125,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,225,175,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,225,225,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,225,275,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,275,75,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,275,125,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,275,175,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,275,225,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
4,2,275,275,2696,1.1377659819920185,0.47403560830860536,5785.886496754193,2489.169804584495
3,4,75,75,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,75,125,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
